33,3,1,2,0,2,1,1,1,5,5,76,1,-1,0,1,1
35,1,1,3,0,231,1,0,1,5,5,139,1,-1,0,1,1
28,1,2,3,0,447,1,1,1,5,5,217,1,-1,0,1,1
58,5,1,1,0,121,1,0,1,5,5,50,1,-1,0,1,1
41,6,3,2,0,270,1,0,1,5,5,222,1,-1,0,1,1
51,5,1,1,0,229,1,0,1,5,5,353,1,-1,0,1,1
33,7,1,2,0,0,1,0,1,5,5,54,1,-1,0,1,1
32,4,2,2,0,23,1,1,1,5,5,160,1,-1,0,1,1
36,2,2,2,0,265,1,1,1,5,5,348,1,-1,0,1,1
51,1,1,3,0,10635,1,0,1,5,5,336,1,-1,0,1,1
57,2,3,2,0,63,1,0,1,5,5,242,1,-1,0,1,1
53,2,1,2,0,-3,0,0,1,5,5,1666,1,-1,0,1,1
36,6,3,2,0,506,1,0,1,5,5,577,1,-1,0,1,1
60,4,1,1,0,104,1,0,1,5,5,22,1,-1,0,1,1
46,7,1,1,0,179,1,0,1,5,5,1778,1,-1,0,1,1
49,4,1,1,0,154,1,0,1,5,5,357,1,-1,0,1,1
51,1,1,3,0,6530,1,0,1,5,5,91,1,-1,0,1,1
59,1,3,3,0,59,1,0,1,5,5,273,1,-1,0,1,1
49,7,3,2,0,0,1,1,1,5,5,272,1,-1,0,1,1
55,7,3,2,1,1,1,0,1,5,5,208,1,-1,0,1,1
45,6,2,2,0,206,1,0,1,5,5,193,1,-1,0,1,1
47,7,3,2,0,164,0,0,1,5,5,212,1,-1,0,1,1
42,2,2,2,0,690,1,0,1,5,5,20,1,-1,0,1,1
45,1,1,3,0,523,1,0,1,5,5,849,2,-1,0,1,1
44,4,1,2,0,144,1,0,1,5,5,247,2,-1,0,1,1
41,6,1,2,0,351,1,0,1,5,5,518,1,-1,0,1,1
57,2,1,1,0,0,0,0,1,5,5,98,1,-1,0,1,1
51,4,1,2,0,26,1,0,1,5,5,79,1,-1,0,1,1
34,6,1,1,0,3,1,0,1,5,5,120,3,-1,0,1,1
55,7,1,2,0,2476,1,0,2,5,5,579,1,-1,0,1,2
32,2,2,2,0,0,1,0,1,5,5,136,1,-1,0,1,1
40,4,1,2,0,1225,1,0,1,5,5,558,5,-1,0,1,1
54,6,1,3,0,184,0,0,2,5,5,673,2,-1,0,1,2
53,6,3,2,0,1151,1,0,1,5,5,412,1,-1,0,1,1
35,2,3,2,0,787,1,0,1,5,5,683,2,-1,0,1,1
36,6,1,3,0,211,1,0,1,5,5,146,2,-1,0,1,1
58,5,1,1,0,235,1,0,1,5,5,167,1,-1,0,1,1
40,7,3,3,0,4384,1,0,1,5,5,315,1,-1,0,1,1
31,1,2,3,0,0,1,0,1,5,5,562,1,-1,0,1,1
50,2,3,3,0,173,0,1,1,5,5,98,1,-1,0,1,1
61,4,3,3,0,1428,1,0,1,5,5,82,2,-1,0,1,1
47,6,1,2,0,219,1,0,1,5,5,577,1,-1,0,1,1
35,7,1,2,0,0,1,0,1,5,5,471,1,-1,0,1,1
50,7,1,2,0,5699,1,0,1,5,5,381,2,-1,0,1,1
42,5,1,2,0,56,1,0,1,5,5,215,1,-1,0,1,1
47,1,1,1,0,28,0,0,1,5,5,338,2,-1,0,1,1
53,9,1,1,0,13,0,0,1,5,5,410,3,-1,0,1,1
39,1,1,3,0,378,1,1,1,5,5,127,2,-1,0,1,1
28,4,1,1,0,324,1,0,1,5,5,175,1,-1,0,1,1
57,3,1,2,0,294,1,0,1,5,5,746,2,-1,0,1,1
45,4,1,1,0,25,1,0,1,5,5,40,1,-1,0,1,1
43,2,1,2,0,434,1,0,1,5,5,117,1,-1,0,1,1
42,1,1,1,0,275,0,0,1,5,5,408,2,-1,0,1,1
53,4,1,2,0,0,1,1,1,5,5,181,1,-1,0,1,1
39,4,1,1,0,279,1,0,1,5,5,361,1,-1,0,1,1
59,3,3,2,0,901,1,0,1,5,5,73,3,-1,0,1,1
37,2,1,2,0,275,1,0,1,5,5,132,1,-1,0,1,1
42,1,3,3,0,742,1,0,1,5,5,58,3,-1,0,1,1
30,11,2,3,0,25,1,0,1,5,5,89,2,-1,0,1,1
